Distance from fort,count_schools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,count_medical_centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,min_dist_school,min_dist_medical_center,Price per Perch
12.98,0,0,2.043785258,6.936892334,0.970979431,0.592912586,15,0,0.753254352,9,1.514111406,2,2.465868046,2.904053309,"1,425,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"6,500,000.00"
34.52,1,0,10.86360423,17.54383842,0.032153225,0.022707491,1,0,6.08034501,0,6.910724352,0,14.5292775,10.27685828,"217,000.00"
22.44,3,0,5.203382155,3.267675424,7.04024369,1.699276938,3,0,1.23338234,2,3.163384959,0,6.340291304,3.4684978,"760,000.00"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"5,700,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"625,000.00"
18.85,3,0,2.75753304,6.672114016,5.148238391,0.144675834,8,2,0.49262073,12,0.048597652,2,4.401620213,1.4674653,"725,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"450,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"450,000.00"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"846,153.85"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"897,500.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"600,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"600,000.00"
22.48,1,0,5.025437008,4.526230179,2.158402885,2.639915599,0,0,0.360470047,1,2.521308465,0,4.82621559,4.51951349,"437,500.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"579,710.14"
32.72,0,0,5.980388514,15.53202167,1.009932711,1.089855937,1,0,3.205859997,0,3.378773687,0,12.39189835,10.00080272,"172,000.00"
24.82,1,0,5.090707489,0.409507119,6.811585774,0.031648336,2,1,3.055274365,0,5.118456884,0,7.133131449,4.812728716,"195,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"608,695.65"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"3,500,000.00"
10.96,9,1,1.555973958,11.53988387,0.42972373,0.126142707,18,1,0.460378059,12,0.545357036,3,0.891115717,1.452211198,"3,500,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"625,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"590,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"590,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"590,000.00"
19.59,1,0,4.65088748,1.626447486,3.488327488,0.0702284,6,0,0.225418134,4,0.132466919,1,3.752484608,4.569323338,"625,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"725,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"890,000.00"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"895,522.39"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"875,000.00"
7.57,26,6,0.194328801,7.759564862,1.511477789,0.344641591,43,10,0.118453506,18,0.085681338,5,0.241442313,1.261456637,"6,000,000.00"
14.94,4,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0,0.297162444,10,0.3277186,2,3.835218788,3.420543751,"1,800,000.00"
36.09,1,0,5.192048924,16.69440877,3.421132423,4.421975181,0,0,4.992931183,0,9.219189864,0,12.72638173,10.71912836,"250,000.00"
10.96,9,1,1.555973958,11.53988387,0.42972373,0.126142707,18,1,0.460378059,12,0.545357036,3,0.891115717,1.452211198,"2,872,340.43"
17.66,2,0,2.766675534,1.341754436,9.982145833,0.351838973,8,1,0.22296895,5,0.044349224,1,6.270127131,4.493856946,"1,800,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"1,000,000.00"
10.64,6,0,2.246210381,8.09204828,1.80277564,0.069620362,22,0,0.265138276,16,0.346100643,2,1.203411373,2.706880853,"2,600,000.00"
18.85,3,0,2.75753304,6.672114016,5.148238391,0.144675834,8,2,0.49262073,12,0.048597652,2,4.401620213,1.4674653,"875,000.00"
17.05,1,0,3.288533063,7.422553915,3.42874365,0.209031029,5,2,0.224225553,7,0.102080252,2,4.183153917,1.893212984,"1,300,000.00"
4.65,45,2,1.31096963,3.666523287,0.237042731,0.319050688,71,14,0.127508492,16,0.527304778,8,0.768026527,0.568819294,"17,000,000.00"
5.42,23,6,0.274439339,6.485148777,0.987947003,0.216845753,46,7,0.248492837,16,0.813136894,5,0.46789424,1.120174736,"13,000,000.00"
32.72,0,0,5.980388514,15.53202167,1.009932711,1.089855937,1,0,3.205859997,0,3.378773687,0,12.39189835,10.00080272,"172,000.00"
14.94,4,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0,0.297162444,10,0.3277186,2,3.835218788,3.420543751,"1,050,000.00"
13.98,1,1,1.440497502,8.830429042,2.212403368,0.071858443,10,2,0.100746527,11,0.886448814,1,2.748057643,2.54970663,"1,500,000.00"
18.99,5,1,1.866050156,1.810057975,0.314617717,0.069482791,9,1,0.265588994,5,0.215824615,5,2.560275109,1.767980392,"1,100,000.00"
5.79,34,5,0.246501641,5.260460783,1.882027165,0.177139619,56,16,0.270995056,20,0.262818416,7,0.619406784,0.899429589,"20,000,000.00"
19.51,6,0,2.875829072,10.87016748,0.069034825,0.155937673,12,0,0.531430234,4,2.751861472,0,2.987710191,5.917349915,"1,325,000.00"
14.19,1,0,4.333994379,4.620078445,3.239812649,0.047187666,14,1,0.207307327,9,1.832361316,1,2.853306008,2.55936892,"1,800,000.00"
22.61,3,0,3.998696251,2.379564136,0.489734538,0.201421298,7,2,0.014518784,4,0.899794951,1,3.99247885,2.76473027,"730,000.00"
14.94,4,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0,0.297162444,10,0.3277186,2,3.835218788,3.420543751,"1,050,000.00"
32.72,0,0,5.980388514,15.53202167,1.009932711,1.089855937,1,0,3.205859997,0,3.378773687,0,12.39189835,10.00080272,"168,000.00"
25.91,2,2,0.770564739,5.442128017,2.425299821,2.68514114,0,0,2.119728706,0,2.78061435,0,5.68174556,4.911417308,"295,000.00"
31.51,1,1,1.381423128,12.16728407,0.149133019,0.047108561,5,1,0.395558833,1,6.762905565,0,9.361162257,6.139936373,"480,000.00"
12.76,2,0,3.451188718,6.068423112,2.350095105,1.225216639,17,2,1.004871588,8,0.651363299,2,2.259273367,2.561824923,"1,550,000.00"
15.26,0,0,4.55470152,4.19047343,2.465629359,0.840241812,8,1,0.267587215,10,2.469253581,0,3.159466524,3.18055797,"1,500,000.00"
8.43,25,5,0.68379499,8.270892022,1.393859989,0.06226201,43,10,0.220060054,23,0.776471572,5,0.656539523,1.209048532,"4,100,000.00"
7.57,26,6,0.194328801,7.759564862,1.511477789,0.344641591,43,10,0.118453506,18,0.085681338,5,0.241442313,1.261456637,"3,750,000.00"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"2,250,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"4,200,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"600,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"785,714.29"
10.64,6,0,2.246210381,8.09204828,1.80277564,0.069620362,22,0,0.265138276,16,0.346100643,2,1.203411373,2.706880853,"1,900,000.00"
8.43,25,5,0.68379499,8.270892022,1.393859989,0.06226201,43,10,0.220060054,23,0.776471572,5,0.656539523,1.209048532,"11,000,000.00"
10.38,7,0,2.238625345,6.877783599,3.104369608,0.312880087,19,3,0.597689536,17,1.345330372,1,1.750968007,2.165828855,"4,000,000.00"
12.05,12,0,2.665279975,11.82000181,1.565890489,0.622711857,18,1,0.624649718,16,0.901434846,3,1.62108223,2.347759475,"2,777,777.78"
20.21,1,0,4.452395666,3.231228684,9.461703594,1.564251976,1,0,1.45545367,1,1.669502034,1,6.882095043,6.69515565,"425,000.00"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"894,000.00"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"880,000.00"
36.09,1,0,5.192048924,16.69440877,3.421132423,4.421975181,0,0,4.992931183,0,9.219189864,0,12.72638173,10.71912836,"250,000.00"
36.09,1,0,5.192048924,16.69440877,3.421132423,4.421975181,0,0,4.992931183,0,9.219189864,0,12.72638173,10.71912836,"250,000.00"
23.79,1,0,3.495002423,3.317077568,3.931243406,2.171289137,0,0,0.536616073,2,2.688005657,0,5.500983246,4.276389115,"671,232.88"
14.94,4,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0,0.297162444,10,0.3277186,2,3.835218788,3.420543751,"425,000.00"
18.85,3,0,2.75753304,6.672114016,5.148238391,0.144675834,8,2,0.49262073,12,0.048597652,2,4.401620213,1.4674653,"1,275,000.00"
21.89,1,1,1.73280012,3.138944863,3.532694318,0.137331208,4,0,0.166226784,3,1.761886269,1,4.511211539,3.290576454,"895,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"876,500.00"
13.92,2,0,4.446077634,4.507967905,3.708566657,0.505417064,14,1,0.167373418,9,1.30022129,1,2.740499988,2.473412811,"2,850,000.00"
18.99,5,1,1.866050156,1.810057975,0.314617717,0.069482791,9,1,0.265588994,5,0.215824615,5,2.560275109,1.767980392,"890,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"595,238.10"
22.48,1,0,5.025437008,4.526230179,2.158402885,2.639915599,0,0,0.360470047,1,2.521308465,0,4.82621559,4.51951349,"415,000.00"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"865,500.00"
11.35,4,0,3.232578915,6.632045539,4.07247222,0.046516086,15,2,0.275528356,11,1.185148304,2,2.127812617,1.818298797,"4,000,000.00"
16.39,1,0,3.876604793,1.871289347,3.876447241,0.024556017,1,0,1.187704419,5,0.074058786,1,3.340681566,4.15652795,"1,950,000.00"
10.57,11,2,0.574608738,9.365425049,0.380556553,0.053768922,31,3,0.253841443,24,0.139402968,4,0.500748682,1.59651451,"5,500,000.00"
22.39,2,0,5.350999564,4.118825144,6.739824789,1.821689416,2,0,1.602959146,2,2.940111393,0,6.361590457,3.594877933,"1,000,054.95"
17.26,6,0,3.092683935,3.716698378,0.089601941,0.104367405,10,1,0.685837638,5,0.917733437,2,2.121535646,2.422564633,"2,000,000.00"
16.39,1,0,3.876604793,1.871289347,3.876447241,0.024556017,1,0,1.187704419,5,0.074058786,1,3.340681566,4.15652795,"925,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"625,000.00"
23.32,0,0,7.028561387,6.124351023,7.643558956,1.844832933,1,0,1.969323048,1,1.735535589,1,7.878843402,8.549334305,"450,000.00"
22.48,1,0,5.025437008,4.526230179,2.158402885,2.639915599,0,0,0.360470047,1,2.521308465,0,4.82621559,4.51951349,"450,000.00"
11.88,9,2,1.412228981,9.949975211,1.714054755,1.241304091,21,3,0.603966541,23,1.196047358,5,1.353496396,2.372959813,"2,025,000.00"
21.21,3,0,4.001993712,5.27731528,5.682614182,1.481078738,5,0,1.358658138,7,1.820113651,1,5.62599196,3.178849578,"871,212.12"
22.59,1,0,4.731446487,5.842113383,5.025225136,3.189759435,0,0,3.053364406,0,3.525063347,0,5.736706006,4.444261549,"885,000.00"
12.76,2,0,3.451188718,6.068423112,2.350095105,1.225216639,17,2,1.004871588,8,0.651363299,2,2.259273367,2.561824923,"1,650,000.00"
23.65,1,0,6.293782293,4.0924518,6.75423149,3.113434999,0,0,2.887802918,0,4.196443454,0,7.250108037,4.444523159,"735,000.00"
19.51,6,0,2.875829072,10.87016748,0.069034825,0.155937673,12,0,0.531430234,4,2.751861472,0,2.987710191,5.917349915,"1,550,000.00"
13.87,2,3,1.447933444,2.717124559,7.211964683,2.102517685,0,1,1.010168346,1,1.065715706,2,4.640681644,3.135436539,"2,000,000.00"
14.19,1,0,4.333994379,4.620078445,3.239812649,0.047187666,14,1,0.207307327,9,1.832361316,1,2.853306008,2.55936892,"2,500,000.00"
13.98,1,1,1.440497502,8.830429042,2.212403368,0.071858443,10,2,0.100746527,11,0.886448814,1,2.748057643,2.54970663,"2,300,000.00"
8.66,9,1,0.549898445,5.213415717,1.3669029,0.064668268,9,7,0.050657848,13,2.104233363,0,1.284658669,0.825239173,"4,200,000.00"
36.09,1,0,5.192048924,16.69440877,3.421132423,4.421975181,0,0,4.992931183,0,9.219189864,0,12.72638173,10.71912836,"250,000.00"
36.09,1,0,5.192048924,16.69440877,3.421132423,4.421975181,0,0,4.992931183,0,9.219189864,0,12.72638173,10.71912836,"250,000.00"
42.89,2,0,17.30386792,25.98399192,0.638579249,0.092605017,7,3,1.670624688,2,3.822489362,0,20.27564198,8.252888495,"200,000.00"
